                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.72364,                0.72268,                 1.1392,                0.89899,                  0.812,                0.87822,                0.74033,                0.73166,                0.74266,                  1.157,              0.0093268,              0.0093268,              0.0093268
                     36,                0.71976,                0.71709,                 1.1321,                0.87831,                0.83434,                0.88787,                0.74883,                  0.738,                0.76398,                 1.1405,               0.009307,               0.009307,               0.009307
                     37,                0.69924,                 0.7021,                 1.1221,                0.85878,                0.82228,                0.88465,                0.74942,                0.70659,                 0.7419,                 1.1218,              0.0092872,              0.0092872,              0.0092872
                     38,                0.71509,                0.71385,                 1.1315,                0.86411,                0.83907,                0.89819,                0.75557,                0.73209,                0.73759,                 1.1523,              0.0092674,              0.0092674,              0.0092674
                     39,                0.68916,                0.68768,                 1.1217,                0.91288,                0.83415,                0.90298,                0.75927,                0.71269,                0.72697,                 1.1194,              0.0092476,              0.0092476,              0.0092476
                     40,                0.68986,                0.68465,                 1.1239,                0.89812,                0.79289,                 0.8365,                0.65745,                0.89141,                0.94555,                 1.3178,              0.0092278,              0.0092278,              0.0092278
                     41,                0.70375,                0.69248,                 1.1217,                0.88649,                0.82777,                 0.8833,                 0.7483,                0.72685,                0.78133,                  1.117,               0.009208,               0.009208,               0.009208
                     42,                 0.6808,                0.66604,                 1.1172,                0.88914,                0.82852,                0.88965,                0.76808,                0.71566,                0.75573,                 1.1265,              0.0091882,              0.0091882,              0.0091882
                     43,                0.67574,                0.65735,                 1.1095,                0.85994,                0.86252,                0.88838,                0.73758,                0.75984,                0.73964,                  1.179,              0.0091684,              0.0091684,              0.0091684
                     44,                0.68666,                 0.6482,                 1.1173,                0.90211,                0.81607,                0.88649,                0.76902,                0.66134,                0.72141,                 1.0949,              0.0091486,              0.0091486,              0.0091486
                     45,                0.65666,                0.63903,                 1.1023,                0.83702,                0.78494,                0.85866,                0.69169,                0.79909,                0.92733,                  1.196,              0.0091288,              0.0091288,              0.0091288
                     46,                0.68023,                0.65192,                 1.0997,                0.91614,                0.82028,                0.87975,                0.75848,                0.69272,                0.71827,                 1.1317,               0.009109,               0.009109,               0.009109
                     47,                0.66491,                0.65662,                 1.1025,                0.89978,                0.80822,                0.87003,                0.73195,                0.74969,                0.77022,                 1.1546,              0.0090892,              0.0090892,              0.0090892
